strategy,load,density,repetition,seed,requests,providers,critical_mean_wait_h,critical_p95_wait_h,urgent_within_6h_pct,mean_wait_h,p95_wait_h,utilisation_gini,mean_distance_km,cross_cluster_pct,completed_within_horizon_pct,regional_fairness_jain,escalated_pct,unassigned_pct
WEIGHTED_SCORING,LOW,DENSE,8,20261025,72,18,0.1881,0.4667,100.0000,0.0507,0.4667,0.1142,53.8474,62.5000,90.2778,1.0000,0.0000,0.0000
GEO_NEAREST,LOW,DENSE,8,20261025,72,18,0.0000,0.0000,100.0000,0.0222,0.2833,0.3620,7.0364,0.0000,93.0556,1.0000,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,LOW,DENSE,8,20261025,72,18,0.0000,0.0000,100.0000,0.0222,0.2833,0.3620,7.0364,0.0000,93.0556,1.0000,0.0000,0.0000
FIFO,LOW,DENSE,9,20261026,72,18,0.0450,0.3667,100.0000,0.0354,0.3667,0.0653,56.7258,65.2778,93.0556,1.0000,0.0000,0.0000
WEIGHTED_SCORING,LOW,DENSE,9,20261026,72,18,0.0450,0.3667,100.0000,0.0354,0.3667,0.0653,56.7258,65.2778,93.0556,1.0000,0.0000,0.0000
GEO_NEAREST,LOW,DENSE,9,20261026,72,18,0.0000,0.0000,100.0000,0.0100,0.0500,0.2996,6.5736,0.0000,95.8333,1.0000,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,LOW,DENSE,9,20261026,72,18,0.0000,0.0000,100.0000,0.0100,0.0500,0.2996,6.5736,0.0000,95.8333,1.0000,0.0000,0.0000
FIFO,MEDIUM,SPARSE,0,20261917,144,6,20.1702,44.9667,31.5789,20.5603,43.2167,0.0060,51.0459,65.9722,58.3333,0.9904,0.6944,0.0000
WEIGHTED_SCORING,MEDIUM,SPARSE,0,20261917,144,6,4.6214,25.2667,59.6491,21.1917,73.3667,0.0070,53.4368,70.1389,58.3333,0.9827,0.6944,0.0000
GEO_NEAREST,MEDIUM,SPARSE,0,20261917,144,6,4.7619,44.5167,66.6667,7.6595,40.8833,0.0231,25.8955,22.9167,79.8611,0.9939,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,MEDIUM,SPARSE,0,20261917,144,6,0.8488,2.5333,68.4211,13.9218,52.9500,0.0169,35.4065,40.9722,65.2778,0.9912,0.6944,0.0000
